covered,filled,won,day,size,entry,maker_L,pnl_maker,pnl_paper
True,False,0.0,2026-05-19,5.0,0.375,0.365,,-0.391875
True,False,1.0,2026-05-19,5.0,0.465,0.445,,0.5170881999999999
True,False,0.0,2026-05-19,5.0,0.405,0.355,,-0.4223502
True,False,1.0,2026-05-19,2.18,0.505,0.495,,0.4770018
True,True,1.0,2026-05-19,1.01,0.515,0.505,0.495,0.4670162
True,False,1.0,2026-05-19,3.62,0.525,0.515,,0.457045
True,False,0.0,2026-05-19,2.78,0.485,0.34500000000000003,,-0.5029838
True,False,1.0,2026-05-19,2.78,0.485,0.475,,0.4970162
True,False,1.0,2026-05-19,5.0,0.455,0.435,,0.5271457999999999
True,True,1.0,2026-05-19,5.0,0.415,0.405,0.595,0.5675201999999999
True,True,0.0,2026-05-19,5.0,0.405,0.395,-0.395,-0.4223502
True,True,0.0,2026-05-19,3.47,0.505,0.495,-0.495,-0.5229982
True,False,0.0,2026-05-19,5.0,0.425,0.415,,-0.44259499999999996
True,False,1.0,2026-05-19,5.0,0.475,0.46499999999999997,,0.507045
True,True,0.0,2026-05-19,3.01,0.545,0.535,-0.535,-0.5628542000000001
True,False,1.0,2026-05-19,2.02,0.515,0.475,,0.4670162
True,True,1.0,2026-05-19,5.0,0.475,0.465,0.5349999999999999,0.507045
True,False,1.0,2026-05-19,5.0,0.485,0.455,,0.4970162
True,False,1.0,2026-05-19,5.0,0.435,0.425,,0.5473041999999999
True,True,0.0,2026-05-19,5.0,0.425,0.415,-0.415,-0.44259499999999996
True,False,0.0,2026-05-19,4.09,0.495,0.485,,-0.5129982
True,False,1.0,2026-05-19,4.74,0.445,0.435,,0.5372178
True,True,1.0,2026-05-19,5.0,0.405,0.395,0.605,0.5776498
True,False,0.0,2026-05-19,5.0,0.455,0.445,,-0.4728542
True,False,1.0,2026-05-19,2.53,0.525,0.515,,0.457045
True,True,0.0,2026-05-19,5.0,0.405,0.395,-0.395,-0.4223502
True,True,0.0,2026-05-19,5.0,0.405,0.395,-0.395,-0.4223502
True,True,0.0,2026-05-19,5.0,0.415,0.40499999999999997,-0.40499999999999997,-0.43247979999999997
True,False,1.0,2026-05-19,5.0,0.405,0.395,,0.5776498
True,False,0.0,2026-05-19,5.0,0.435,0.425,,-0.4526958
True,False,0.0,2026-05-19,5.0,0.355,0.345,,-0.3714862
True,False,1.0,2026-05-19,3.79,0.535,0.525,,0.4470882
True,False,1.0,2026-05-19,4.34,0.505,0.495,,0.4770018
True,False,0.0,2026-05-19,4.33,0.455,0.445,,-0.4728542
True,False,0.0,2026-05-19,5.0,0.355,0.345,,-0.3714862
True,True,0.0,2026-05-19,5.0,0.465,0.455,-0.455,-0.4829118
True,True,1.0,2026-05-19,2.68,0.505,0.495,0.505,0.4770018
True,True,1.0,2026-05-19,3.96,0.485,0.475,0.525,0.4970162
True,True,0.0,2026-05-19,4.24,0.455,0.4350000000000001,-0.4350000000000001,-0.4728542
True,False,0.0,2026-05-19,5.0,0.245,0.22499999999999998,,-0.2583182
True,False,0.0,2026-05-19,5.0,0.20500000000000002,0.195,,-0.21673420000000002
True,True,0.0,2026-05-19,5.0,0.07500000000000001,0.06500000000000011,-0.06500000000000011,-0.07999500000000001
True,False,1.0,2026-05-19,4.62,0.525,0.515,,0.457045
True,True,0.0,2026-05-19,4.01,0.445,0.4350000000000001,-0.4350000000000001,-0.46278220000000003
True,True,0.0,2026-05-19,5.0,0.335,0.325,-0.325,-0.3510398
True,False,0.0,2026-05-19,4.04,0.445,0.4350000000000001,,-0.46278220000000003
True,False,1.0,2026-05-19,5.0,0.385,0.375,,0.5979522
True,True,0.0,2026-05-19,2.35,0.485,0.475,-0.475,-0.5029838
True,True,0.0,2026-05-19,5.0,0.425,0.415,-0.415,-0.44259499999999996
True,False,0.0,2026-05-19,5.0,0.445,0.4350000000000001,,-0.46278220000000003
True,False,0.0,2026-05-19,3.43,0.495,0.485,,-0.5129982
True,False,1.0,2026-05-20,5.0,0.515,0.505,,0.4670162
True,False,1.0,2026-05-20,4.48,0.425,0.415,,0.5574049999999999
True,True,1.0,2026-05-20,2.38,0.515,0.505,0.495,0.4670162
True,False,1.0,2026-05-20,5.0,0.405,0.395,,0.5776498
True,False,1.0,2026-05-20,2.12,0.525,0.515,,0.457045
True,False,0.0,2026-05-20,5.0,0.435,0.425,,-0.4526958
True,True,1.0,2026-05-20,3.99,0.505,0.495,0.505,0.4770018
True,False,1.0,2026-05-20,4.06,0.495,0.485,,0.4870018
True,True,1.0,2026-05-20,5.0,0.445,0.425,0.575,0.5372178
True,False,0.0,2026-05-20,5.0,0.375,0.275,,-0.391875
True,False,1.0,2026-05-20,2.09,0.515,0.505,,0.4670162
True,False,1.0,2026-05-20,5.0,0.425,0.415,,0.5574049999999999
True,True,0.0,2026-05-20,5.0,0.525,0.515,-0.515,-0.5429550000000001
True,True,1.0,2026-05-20,5.0,0.375,0.365,0.635,0.608125
True,False,1.0,2026-05-20,3.61,0.465,0.455,,0.5170881999999999
True,True,1.0,2026-05-20,5.0,0.425,0.415,0.585,0.5574049999999999
True,True,1.0,2026-05-20,5.0,0.415,0.405,0.595,0.5675201999999999
True,False,1.0,2026-05-20,3.41,0.515,0.505,,0.4670162
True,False,0.0,2026-05-20,5.0,0.455,0.4250000000000001,,-0.4728542
True,False,1.0,2026-05-20,5.0,0.405,0.395,,0.5776498
True,True,0.0,2026-05-20,3.8,0.465,0.455,-0.455,-0.4829118
True,True,1.0,2026-05-20,5.0,0.405,0.395,0.605,0.5776498
True,False,1.0,2026-05-20,5.0,0.435,0.425,,0.5473041999999999
True,False,1.0,2026-05-20,5.0,0.405,0.395,,0.5776498
True,True,1.0,2026-05-20,5.0,0.445,0.435,0.565,0.5372178
True,True,1.0,2026-05-20,4.61,0.455,0.445,0.5549999999999999,0.5271457999999999
True,False,1.0,2026-05-20,5.0,0.535,0.525,,0.4470882
True,True,1.0,2026-05-20,5.0,0.495,0.485,0.515,0.4870018
True,True,0.0,2026-05-20,5.0,0.485,0.475,-0.475,-0.5029838
True,False,1.0,2026-05-20,5.0,0.485,0.435,,0.4970162
True,False,1.0,2026-05-20,5.0,0.475,0.465,,0.507045
True,False,1.0,2026-05-20,5.0,0.485,0.475,,0.4970162
True,True,1.0,2026-05-20,5.0,0.465,0.455,0.5449999999999999,0.5170881999999999
True,True,1.0,2026-05-20,5.0,0.525,0.515,0.485,0.457045
True,False,0.0,2026-05-20,5.0,0.455,0.445,,-0.4728542
True,True,0.0,2026-05-20,4.87,0.495,0.485,-0.485,-0.5129982
True,True,1.0,2026-05-20,5.0,0.395,0.385,0.615,0.5877938
True,True,0.0,2026-05-20,1.65,0.535,0.525,-0.525,-0.5529118000000001
True,True,1.0,2026-05-20,5.0,0.445,0.435,0.565,0.5372178
True,False,0.0,2026-05-20,5.0,0.255,0.245,,-0.2686782
True,False,0.0,2026-05-20,5.0,0.375,0.365,,-0.391875
True,False,1.0,2026-05-20,5.0,0.495,0.485,,0.4870018
True,True,1.0,2026-05-20,5.0,0.485,0.475,0.525,0.4970162
True,True,1.0,2026-05-20,4.86,0.485,0.475,0.525,0.4970162
True,False,1.0,2026-05-20,5.0,0.475,0.465,,0.507045
True,False,0.0,2026-05-20,5.0,0.405,0.395,,-0.4223502
True,False,0.0,2026-05-20,5.0,0.315,0.305,,-0.3305358
True,True,1.0,2026-05-20,5.0,0.495,0.485,0.515,0.4870018
True,True,1.0,2026-05-20,5.0,0.505,0.495,0.505,0.4770018
True,True,0.0,2026-05-20,5.0,0.355,0.345,-0.345,-0.3714862
True,True,1.0,2026-05-20,4.28,0.515,0.505,0.495,0.4670162
True,True,1.0,2026-05-20,5.0,0.455,0.445,0.5549999999999999,0.5271457999999999
True,False,1.0,2026-05-20,5.0,0.435,0.425,,0.5473041999999999
True,True,1.0,2026-05-20,5.0,0.415,0.405,0.595,0.5675201999999999
True,False,0.0,2026-05-20,1.88,0.515,0.505,,-0.5329838
True,True,0.0,2026-05-20,5.0,0.405,0.395,-0.395,-0.4223502
True,False,1.0,2026-05-20,5.0,0.455,0.435,,0.5271457999999999
True,True,1.0,2026-05-20,5.0,0.455,0.445,0.5549999999999999,0.5271457999999999
True,True,1.0,2026-05-20,5.0,0.425,0.415,0.585,0.5574049999999999
True,True,0.0,2026-05-20,5.0,0.405,0.395,-0.395,-0.4223502
True,False,1.0,2026-05-20,5.0,0.425,0.395,,0.5574049999999999
True,False,1.0,2026-05-20,4.78,0.515,0.505,,0.4670162
True,True,0.0,2026-05-20,5.0,0.465,0.455,-0.455,-0.4829118
True,False,0.0,2026-05-20,1.1,0.515,0.505,,-0.5329838
True,False,1.0,2026-05-20,5.0,0.515,0.505,,0.4670162
True,False,1.0,2026-05-20,5.0,0.425,0.415,,0.5574049999999999
True,False,1.0,2026-05-20,5.0,0.525,0.515,,0.457045
True,False,1.0,2026-05-20,5.0,0.445,0.435,,0.5372178
True,False,1.0,2026-05-20,5.0,0.515,0.505,,0.4670162
True,True,0.0,2026-05-20,4.56,0.485,0.475,-0.475,-0.5029838
True,False,1.0,2026-05-20,5.0,0.535,0.525,,0.4470882
True,False,1.0,2026-05-20,5.0,0.515,0.505,,0.4670162
True,True,1.0,2026-05-20,5.0,0.435,0.425,0.575,0.5473041999999999
True,False,1.0,2026-05-20,5.0,0.415,0.405,,0.5675201999999999
True,False,1.0,2026-05-20,5.0,0.465,0.455,,0.5170881999999999
True,False,1.0,2026-05-20,5.0,0.485,0.475,,0.4970162
True,False,0.0,2026-05-20,5.0,0.385,0.375,,-0.4020478
True,False,1.0,2026-05-20,5.0,0.415,0.405,,0.5675201999999999
True,True,1.0,2026-05-20,5.0,0.475,0.465,0.5349999999999999,0.507045
True,False,1.0,2026-05-20,5.0,0.435,0.425,,0.5473041999999999
True,False,1.0,2026-05-20,5.0,0.485,0.475,,0.4970162
True,True,1.0,2026-05-20,1.76,0.535,0.525,0.475,0.4470882
True,False,0.0,2026-05-20,2.96,0.505,0.495,,-0.5229982
True,True,0.0,2026-05-20,5.0,0.485,0.475,-0.475,-0.5029838
True,False,1.0,2026-05-20,5.0,0.525,0.515,,0.457045
True,False,1.0,2026-05-20,5.0,0.415,0.395,,0.5675201999999999
True,True,1.0,2026-05-20,5.0,0.425,0.415,0.585,0.5574049999999999
True,True,1.0,2026-05-20,5.0,0.505,0.495,0.505,0.4770018
True,True,0.0,2026-05-20,5.0,0.435,0.425,-0.425,-0.4526958
True,False,1.0,2026-05-20,5.0,0.445,0.435,,0.5372178
True,True,1.0,2026-05-20,5.0,0.475,0.465,0.5349999999999999,0.507045
True,False,1.0,2026-05-20,3.86,0.505,0.495,,0.4770018
True,True,1.0,2026-05-20,5.0,0.425,0.415,0.585,0.5574049999999999
True,True,1.0,2026-05-20,5.0,0.505,0.495,0.505,0.4770018
True,False,1.0,2026-05-20,5.0,0.425,0.415,,0.5574049999999999
True,False,1.0,2026-05-20,5.0,0.445,0.435,,0.5372178
True,False,1.0,2026-05-20,5.0,0.515,0.505,,0.4670162
True,True,1.0,2026-05-20,4.91,0.485,0.465,0.5349999999999999,0.4970162
True,True,1.0,2026-05-20,3.53,0.545,0.535,0.46499999999999997,0.4371458
True,True,1.0,2026-05-20,5.0,0.455,0.445,0.5549999999999999,0.5271457999999999
True,False,1.0,2026-05-20,5.0,0.505,0.495,,0.4770018
True,False,1.0,2026-05-20,5.0,0.405,0.355,,0.5776498
True,False,0.0,2026-05-20,5.0,0.485,0.475,,-0.5029838
True,False,0.0,2026-05-20,5.0,0.475,0.465,,-0.492955
True,True,0.0,2026-05-20,5.0,0.505,0.495,-0.495,-0.5229982
True,False,1.0,2026-05-20,5.0,0.455,0.445,,0.5271457999999999
True,True,1.0,2026-05-20,5.0,0.455,0.445,0.5549999999999999,0.5271457999999999
True,True,0.0,2026-05-20,5.0,0.425,0.415,-0.415,-0.44259499999999996
True,False,0.0,2026-05-20,5.0,0.505,0.485,,-0.5229982
True,True,1.0,2026-05-20,5.0,0.515,0.505,0.495,0.4670162
True,False,1.0,2026-05-20,5.0,0.475,0.465,,0.507045
True,True,0.0,2026-05-20,3.77,0.505,0.495,-0.495,-0.5229982
True,True,0.0,2026-05-20,5.0,0.475,0.465,-0.465,-0.492955
True,False,0.0,2026-05-20,5.0,0.485,0.475,,-0.5029838
True,False,1.0,2026-05-20,5.0,0.425,0.415,,0.5574049999999999
True,True,0.0,2026-05-20,5.0,0.455,0.445,-0.445,-0.4728542
True,False,0.0,2026-05-20,5.0,0.405,0.345,,-0.4223502
True,True,1.0,2026-05-20,4.4,0.515,0.505,0.495,0.4670162
True,False,0.0,2026-05-20,5.0,0.495,0.485,,-0.5129982
True,False,1.0,2026-05-20,1.58,0.545,0.495,,0.4371458
True,False,1.0,2026-05-20,5.0,0.485,0.475,,0.4970162
True,False,1.0,2026-05-20,5.0,0.515,0.505,,0.4670162
True,True,1.0,2026-05-20,5.0,0.445,0.435,0.565,0.5372178
True,True,0.0,2026-05-20,2.72,0.495,0.445,-0.445,-0.5129982
True,False,1.0,2026-05-20,3.76,0.455,0.445,,0.5271457999999999
True,False,1.0,2026-05-20,2.81,0.475,0.465,,0.507045
True,True,1.0,2026-05-20,5.0,0.435,0.425,0.575,0.5473041999999999
True,False,0.0,2026-05-20,5.0,0.445,0.435,,-0.46278220000000003
True,True,1.0,2026-05-20,4.01,0.465,0.455,0.5449999999999999,0.5170881999999999
True,False,0.0,2026-05-20,5.0,0.385,0.375,,-0.4020478
True,False,1.0,2026-05-20,2.88,0.395,0.385,,0.5877938
True,False,0.0,2026-05-20,2.63,0.485,0.45499999999999996,,-0.5029838
